material_number,material_desc_raw,product_family,product_group,product_family_sort,product_group_sort,length_m,rule_notes
000000001830813345,MOSFET P-CH 20V 9A 6UDFN,Unclassified,Other,999.0,999.0,,
000000001830813347,IC DGT POT 10KOHM 256TAP SOT23-8,Unclassified,Other,999.0,999.0,,
000000001830813348,IC REG LIN NEG ADJ 200MA 8LFCSP,Unclassified,Other,999.0,999.0,,
000000001830813349,IC CMOS 2 CIRCUIT 8MSOP,Unclassified,Other,999.0,999.0,,
000000001830813351,IC VREF SHUNT ADJ 1% SOT23,Unclassified,Other,999.0,999.0,,
000000001830813352,IC VREF SERIES 0.08% SOT23-6,Unclassified,Other,999.0,999.0,,
000000001830813353,IC BUS SWITCH 1 X 1:1 SC74A,Unclassified,Other,999.0,999.0,,
000000001830813354,IC ADC 12BIT SAR 20TSSOP,Unclassified,Other,999.0,999.0,,
000000001830813355,IC REG LIN POS ADJ 150MA SOT23-5,Unclassified,Other,999.0,999.0,,
000000001830813360,IC DAC 14BIT A-OUT 8MSOP,Unclassified,Transceiver_Rating,999.0,50.0,,
000000001830813361,IC REG LIN NEG ADJ 200MA TSOT23,Unclassified,Other,999.0,999.0,,
000000001830813362,IC DAC 12BIT V-OUT 14TSSOP,Unclassified,Transceiver_Rating,999.0,50.0,,
000000001830813363,DUAL PRECISION 10MHZ 7V/US OTT,Unclassified,Other,999.0,999.0,,
000000001830813364,MOSFET N-CH 20V 4.2A SOT23,Unclassified,Other,999.0,999.0,,
000000001830813365,IC REG LIN POS ADJ 300MA 8DFNW,Unclassified,Other,999.0,999.0,,
000000001830813366,IC ADC 16BIT SAR 24TSSOP,Unclassified,Other,999.0,999.0,,
000000001830813370,IC TRANSLATION TXRX 5.5V 24VQFN,Unclassified,Other,999.0,999.0,,
000000001830813372,IC TRANSIMPEDANCE 2 CIRC 8VSSOP,Unclassified,Other,999.0,999.0,,
000000001830813374,MEMS OSC XO 156.2500MHZ LVDS,Unclassified,Other,999.0,999.0,,
000000001830813380,IC FPGA 206I/O 256CABGA,Unclassified,Other,999.0,999.0,,
000000001830813401,IC MCU Dual 32bit 2MB FLASH TFBGA265,Unclassified,Other,999.0,999.0,,
000000001830813403,MOSFET N-CH 40V 35.2A DMTH4014LFVW,Unclassified,Other,999.0,999.0,,
000000001830813425,MOSFET 2N-CH 20V 10A 8-SOIC,Unclassified,Other,999.0,999.0,,
000000001830813427,MOSFET N-CH 30V 16A 7mOhm@15A 10V 8SOP,Unclassified,Other,999.0,999.0,,
000000001830813428,IC COMPARATOR 2 GEN,Unclassified,Other,999.0,999.0,,
000000001830813432,RS-232 TRANSCEIVER 16-TSSOP 15KV ESD,Unclassified,Other,999.0,999.0,,
